 ,Area,Mean,Min,Max,Image
1,84,48.5714,0,255,0.jpg
2,359,68.1894,0,255,0.jpg
3,440,108.9545,0,255,0.jpg
4,336,131.2946,0,255,0.jpg
5,107,81.0280,0,255,0.jpg
6,137,44.6715,0,255,0.jpg
7,56,72.8571,0,255,0.jpg
8,91,50.4396,0,255,0.jpg
9,16,15.9375,0,255,0.jpg
10,352,93.4517,0,255,0.jpg
11,173,132.6590,0,255,0.jpg
12,375,89.0800,0,255,0.jpg
13,239,94.9582,0,255,0.jpg
14,24,0.0000,0,0,0.jpg
15,215,47.4419,0,255,0.jpg
16,120,0.0000,0,0,0.jpg
17,411,87.4818,0,255,0.jpg
18,431,97.6218,0,255,0.jpg
19,491,106.4664,0,255,0.jpg
20,293,52.2184,0,255,0.jpg
21,625,69.7680,0,255,0.jpg
22,380,111.3947,0,255,0.jpg
23,201,83.7313,0,255,0.jpg
24,526,98.8973,0,255,0.jpg
25,363,61.1157,0,255,0.jpg
26,486,85.0000,0,255,0.jpg
27,662,73.5725,0,255,0.jpg
28,490,91.0714,0,255,0.jpg
29,343,71.3703,0,255,0.jpg
30,633,83.7915,0,255,0.jpg
31,392,83.2653,0,255,0.jpg
32,790,91.0253,0,255,0.jpg
33,425,120.6000,0,255,0.jpg
34,445,89.3933,0,255,0.jpg
35,743,104.3338,0,255,0.jpg
36,475,119.1789,0,255,0.jpg
37,391,68.4783,0,255,0.jpg
38,576,84.1146,0,255,0.jpg
39,647,124.5440,0,255,0.jpg
40,741,87.4089,0,255,0.jpg
41,732,91.2705,0,255,0.jpg
42,291,33.2990,0,255,0.jpg
43,839,130.9952,0,255,0.jpg
44,294,165.6633,0,255,0.jpg
45,336,98.6607,0,255,0.jpg
46,379,61.8997,0,255,0.jpg
47,381,82.3228,0,255,0.jpg
48,497,92.3541,0,255,0.jpg
49,306,80.0000,0,255,0.jpg
50,599,110.6845,0,255,0.jpg
51,362,82.4171,0,255,0.jpg
52,465,123.9355,0,255,0.jpg
53,487,86.3963,0,255,0.jpg
54,174,55.6897,0,255,0.jpg
55,190,84.5526,0,255,0.jpg
56,501,70.7485,0,255,0.jpg
57,458,94.6507,0,255,0.jpg
58,473,53.9112,0,255,0.jpg
59,586,73.5410,0,255,0.jpg
60,623,71.6292,0,255,0.jpg
61,130,60.8077,0,255,0.jpg
62,444,99.3581,0,255,0.jpg
63,456,99.5395,0,255,0.jpg
64,348,99.6552,0,255,0.jpg
65,478,70.9519,0,255,0.jpg
66,563,59.7869,0,255,0.jpg
67,484,78.5021,0,255,0.jpg
68,393,81.7557,0,255,0.jpg
69,318,89.8113,0,255,0.jpg
70,432,88.5417,0,255,0.jpg
71,310,99.5323,0,255,0.jpg
72,659,80.8725,0,255,0.jpg
73,227,43.8106,0,255,0.jpg
74,606,93.4158,0,255,0.jpg
75,958,99.8173,0,255,0.jpg
76,215,90.1395,0,255,0.jpg
77,225,109.9333,0,255,0.jpg
78,455,124.4176,0,255,0.jpg
79,291,89.3814,0,255,0.jpg
80,308,101.8344,0,255,0.jpg
81,527,100.1613,0,255,0.jpg
82,273,56.0440,0,255,0.jpg
83,247,125.9514,0,255,0.jpg
84,288,84.1146,0,255,0.jpg
85,313,70.0639,0,255,0.jpg
86,504,87.5298,0,255,0.jpg
87,218,43.2798,0,255,0.jpg
88,459,80.5556,0,255,0.jpg
89,537,73.6034,0,255,0.jpg
90,694,88.5519,0,255,0.jpg
91,346,36.1127,0,255,0.jpg
92,552,140.8967,0,255,0.jpg
93,529,93.0340,0,255,0.jpg
94,285,104.6842,0,255,0.jpg
95,494,83.1073,0,255,0.jpg
96,264,58.9205,0,255,0.jpg
97,542,98.8007,0,255,0.jpg
98,524,99.2748,0,255,0.jpg
99,445,50.4270,0,255,0.jpg
100,286,66.8706,0,255,0.jpg
101,539,77.1150,0,255,0.jpg
102,379,98.2322,0,255,0.jpg
103,96,0.0000,0,0,0.jpg
104,396,69.5455,0,255,0.jpg
105,458,144.2031,0,255,0.jpg
