 ,Area,Mean,Min,Max,Image
1,82,4.1091,-30.8978,25.7398,0.jpg
2,344,15.0713,-34.2646,65.8260,0.jpg
3,439,19.3012,-34.7980,57.2333,0.jpg
4,336,17.3020,-40.6652,55.2855,0.jpg
5,103,7.1573,-25.7309,27.2148,0.jpg
6,132,1.2383,-33.3156,34.5809,0.jpg
7,54,10.8541,-24.9711,39.5773,0.jpg
8,87,6.6355,-19.1522,27.8664,0.jpg
9,352,15.3425,-26.7449,64.0628,0.jpg
10,171,14.9457,-28.4246,47.4378,0.jpg
11,375,14.6567,-36.7990,61.2776,0.jpg
12,239,13.6104,-24.8362,57.0781,0.jpg
13,18,5.9118,1.0736,13.4603,0.jpg
14,215,7.1547,-22.0474,47.0675,0.jpg
15,118,-1.7837,-20.9253,11.0051,0.jpg
16,409,12.6075,-43.7626,65.0172,0.jpg
17,431,14.2471,-33.5757,56.3272,0.jpg
18,490,14.3302,-40.6166,56.2973,0.jpg
19,293,17.3554,-29.5311,57.0238,0.jpg
20,298,16.6440,-19.1164,70.2124,0.jpg
21,371,16.3030,-51.1250,65.5216,0.jpg
22,203,16.1993,-21.6457,52.8814,0.jpg
23,524,11.2125,-37.3593,59.0979,0.jpg
24,362,11.7524,-26.6340,57.5207,0.jpg
25,484,12.6974,-29.9072,53.3552,0.jpg
26,302,13.0899,-25.3969,54.0273,0.jpg
27,640,11.6204,-50.1923,64.2455,0.jpg
28,490,13.8995,-35.5209,69.2263,0.jpg
29,343,17.3570,-40.7151,64.7544,0.jpg
30,634,12.9231,-39.1384,60.3090,0.jpg
31,393,13.6077,-44.0910,54.1013,0.jpg
32,405,17.9440,-27.4009,54.9107,0.jpg
33,425,21.7821,-26.4414,58.7944,0.jpg
34,377,23.6643,-28.7825,54.7287,0.jpg
35,445,17.3420,-30.6516,57.0611,0.jpg
36,381,11.2836,-54.2260,67.7290,0.jpg
37,476,11.1020,-31.4066,48.9833,0.jpg
38,391,12.1376,-36.3516,64.5899,0.jpg
39,576,13.3210,-27.3937,61.0022,0.jpg
40,648,16.9625,-54.3703,63.8952,0.jpg
41,335,16.4369,-28.4841,63.1274,0.jpg
42,343,7.4962,-34.5893,51.7794,0.jpg
43,336,-3.2874,-61.5961,32.0355,0.jpg
44,281,11.9358,-28.1847,50.2513,0.jpg
45,435,10.4482,-47.6598,56.0977,0.jpg
46,363,11.1886,-23.8324,46.7793,0.jpg
47,294,25.5220,-16.8668,60.3426,0.jpg
48,334,17.6007,-51.0641,64.4925,0.jpg
49,378,27.2270,-28.2646,62.6748,0.jpg
50,367,18.3893,-18.6804,54.5458,0.jpg
51,379,7.6981,-22.4563,61.7203,0.jpg
52,381,16.8474,-37.4571,54.7699,0.jpg
53,495,9.8907,-33.4846,56.4178,0.jpg
54,304,19.4767,-29.9213,60.5645,0.jpg
55,318,16.8555,-22.2512,60.2355,0.jpg
56,362,18.1166,-26.5374,56.0917,0.jpg
57,465,11.9603,-51.7116,59.1721,0.jpg
58,488,6.3877,-33.1220,52.1903,0.jpg
59,173,-3.4933,-50.8636,39.3270,0.jpg
60,186,17.4811,-20.8113,65.0043,0.jpg
61,500,7.2645,-33.9038,64.0409,0.jpg
62,460,19.4587,-39.3925,61.1640,0.jpg
63,473,3.6036,-31.1432,52.5531,0.jpg
64,265,16.5930,-24.1294,54.2100,0.jpg
65,584,5.1867,-55.9023,61.3621,0.jpg
66,621,5.2280,-42.2453,58.7565,0.jpg
67,128,13.7221,-26.8429,55.1432,0.jpg
68,444,10.2145,-44.2670,59.3480,0.jpg
69,454,17.8071,-31.7287,54.8886,0.jpg
70,349,12.0654,-47.4543,63.6005,0.jpg
71,478,6.6283,-30.7510,50.7388,0.jpg
72,563,1.7224,-53.4256,58.8455,0.jpg
73,104,19.5413,-17.3817,56.1779,0.jpg
74,82,21.6397,-10.1629,46.4026,0.jpg
75,393,15.7014,-54.0234,67.5151,0.jpg
76,309,20.5362,-40.8939,49.3204,0.jpg
77,265,16.9222,-17.2430,52.5311,0.jpg
78,432,15.9550,-34.3245,56.0229,0.jpg
79,310,21.0257,-28.0380,61.8604,0.jpg
80,659,7.6256,-47.5152,59.6046,0.jpg
81,224,7.6127,-30.1404,49.4277,0.jpg
82,607,7.6703,-44.1436,47.3672,0.jpg
83,414,13.1767,-41.1790,71.5530,0.jpg
84,214,19.3656,-39.1571,62.2792,0.jpg
85,98,33.8176,6.1116,52.0993,0.jpg
86,222,21.8796,-31.8362,60.0409,0.jpg
87,454,19.2053,-41.4068,65.5022,0.jpg
88,511,13.9464,-42.2493,66.3468,0.jpg
89,295,21.8202,-16.9072,48.1213,0.jpg
90,527,12.7871,-40.0722,54.6473,0.jpg
91,182,16.9975,-36.7406,54.4564,0.jpg
92,258,18.3324,-19.6803,56.4260,0.jpg
93,245,22.9287,-23.1087,60.6915,0.jpg
94,264,18.7553,-15.8646,47.1757,0.jpg
95,312,12.6646,-32.9236,58.4392,0.jpg
96,504,14.1515,-35.9849,60.1914,0.jpg
97,213,8.9025,-39.2412,64.9202,0.jpg
98,460,16.6052,-33.2421,64.5772,0.jpg
99,537,4.2141,-52.9654,59.1196,0.jpg
100,334,6.0013,-44.3679,51.5356,0.jpg
101,346,10.1302,-27.6800,51.7273,0.jpg
102,552,19.3062,-41.4218,58.8047,0.jpg
103,529,16.0974,-36.6231,67.8724,0.jpg
104,285,18.4082,-46.6551,63.2231,0.jpg
105,336,13.5732,-33.4327,61.8605,0.jpg
106,492,6.5089,-40.7338,42.2383,0.jpg
107,263,8.7547,-30.9358,56.0050,0.jpg
108,541,9.4365,-38.7879,56.8248,0.jpg
109,524,22.4304,-40.0995,73.3734,0.jpg
110,446,0.2525,-30.8883,40.6839,0.jpg
111,287,11.0758,-37.0440,54.7138,0.jpg
112,537,11.2979,-39.2397,64.4727,0.jpg
113,377,21.6155,-40.3876,60.5645,0.jpg
114,96,-23.6423,-41.4121,-3.4902,0.jpg
115,396,11.9843,-23.3620,49.3027,0.jpg
116,458,13.7742,-44.2575,50.1180,0.jpg
117,697,20.9754,-47.9364,57.3046,0.jpg
118,336,15.0948,-41.9715,65.8150,0.jpg
119,419,10.4789,-41.2171,56.5756,0.jpg
120,75,31.1313,14.5639,52.2985,0.jpg
121,580,16.1095,-58.1032,55.8360,0.jpg
122,309,9.3649,-22.9017,43.5328,0.jpg
123,322,19.5355,-35.1302,60.6836,0.jpg
124,206,16.6953,-44.0761,50.7820,0.jpg
125,252,13.5028,-31.8830,50.6025,0.jpg
126,596,17.2332,-35.7316,61.4598,0.jpg
127,303,17.7086,-30.9058,68.7823,0.jpg
128,251,17.8500,-17.5122,58.9892,0.jpg
129,428,19.1771,-47.8639,64.5611,0.jpg
130,469,17.0847,-40.4617,55.8750,0.jpg
131,517,12.9363,-33.4472,61.0672,0.jpg
132,371,6.1609,-44.2954,59.4945,0.jpg
133,263,12.0313,-41.2993,56.1907,0.jpg
134,300,19.0522,-35.8177,72.6768,0.jpg
135,660,10.2606,-48.2371,69.3848,0.jpg
136,316,13.9719,-41.5476,46.7512,0.jpg
137,259,29.7374,-16.5757,63.1222,0.jpg
138,440,12.0094,-38.5173,52.9081,0.jpg
139,356,19.4018,-28.8004,58.5251,0.jpg
140,466,10.6338,-38.5396,65.1671,0.jpg
141,499,11.9847,-42.9025,53.4501,0.jpg
142,532,12.5077,-47.7748,58.9054,0.jpg
143,300,18.5240,-42.8434,66.6832,0.jpg
144,397,0.5629,-41.9940,61.4598,0.jpg
145,803,8.8869,-51.6192,62.7844,0.jpg
146,354,20.5957,-36.7406,58.6597,0.jpg
147,572,15.1687,-34.0292,58.3246,0.jpg
148,428,18.2124,-43.9017,53.9197,0.jpg
149,551,17.2148,-45.0894,56.7628,0.jpg
150,223,27.1707,-20.0121,52.3903,0.jpg
